gen,nevals,Promedio,Max_Ganancia,Desviacion
0,50,694.1253171720232,1094.7163369643367,302.7616377120164
1,29,928.3924050555503,1094.7163369643367,228.33024642048898
2,37,994.1143545092402,1094.716336964337,209.63638156629483
3,35,967.9618393616694,1094.716336964337,273.7214035616746
4,38,1029.4672714855792,1094.716336964337,179.4261830123587
5,36,984.4260000450387,1094.716336964337,222.10746097753508
6,38,1035.2352041618883,1094.716336964337,150.84567995401738
7,41,972.0533432257398,1094.716336964337,246.28233481080386
8,44,978.364449939542,1094.716336964337,224.9912266343948
9,36,957.2021092576817,1094.716336964337,275.569318037031
10,40,1010.5443545866582,1094.716336964337,205.32439110846957
11,38,1031.3231558506718,1094.716336964337,171.1093520221504
12,43,1043.5826414689857,1094.716336964337,143.09183352620093
13,37,1042.5491304308193,1094.736336964337,151.41863597561235
14,39,1022.6991058941915,1094.716336964337,182.11840727408375
15,30,1029.1604405107344,1094.716336964337,188.01921705192325
16,37,912.9806138896195,1094.716336964337,312.07518674002154
17,40,977.8014954475047,1094.716336964337,234.6924472838438
18,39,1036.7163006538897,1094.716336964337,125.6984572798367
19,35,1001.1160390213698,1094.716336964337,233.54220085952923
20,37,991.3034961026602,1094.736336964337,245.4139165903646
