Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score,Tiempo_Inicio,Tiempo_Fin,Tiempo_Segundos
5,0,5,0,5,1384.977357,1273.016066,1395.910349,1387.27507,1143.135787,1384.977357,26/07/2026 22:56,26/07/2026 22:56,0.128424883
5,0,5,0,20,1098.410724,1181.110154,1192.431961,1153.38724,1245.17074,1181.110154,26/07/2026 22:56,26/07/2026 22:56,0.481707096
5,0,5,0,50,1224.722037,1323.378796,1143.922845,1205.234942,1361.795846,1224.722037,26/07/2026 22:56,26/07/2026 22:56,1.401565552
5,0,5,0,100,1143.611883,1198.206575,1314.4801,1176.639503,1326.452979,1198.206575,26/07/2026 22:56,26/07/2026 22:56,2.517807484
5,0,5,0.1,5,1241.76515,1157.926276,1159.284428,1198.014097,1273.449824,1198.014097,26/07/2026 22:56,26/07/2026 22:56,0.180453539
5,0,5,0.1,20,1080.560076,1177.85282,1129.41446,1109.466653,1187.536198,1129.41446,26/07/2026 22:56,26/07/2026 22:56,0.643424988
5,0,5,0.1,50,1200.4853,1201.63257,1167.669389,1171.128429,1088.880751,1171.128429,26/07/2026 22:56,26/07/2026 22:56,1.527164459
5,0,5,0.1,100,1230.052879,1280.905474,1110.810801,1201.197577,1195.742146,1201.197577,26/07/2026 22:56,26/07/2026 22:57,3.185908556
5,0,5,0.5,5,1125.715173,1222.251243,1178.045558,1128.607557,1125.663082,1128.607557,26/07/2026 22:57,26/07/2026 22:57,0.271783352
5,0,5,0.5,20,1239.50214,1052.134686,1229.773864,1358.554702,1305.443248,1239.50214,26/07/2026 22:57,26/07/2026 22:57,1.078764915
5,0,5,0.5,50,1364.461687,1339.632958,1178.337356,1231.163914,1237.506508,1237.506508,26/07/2026 22:57,26/07/2026 22:57,2.756960154
5,0,5,0.5,100,1226.683156,1307.228673,1280.005927,1199.84645,1257.099211,1257.099211,26/07/2026 22:57,26/07/2026 22:57,5.324770451
5,0,5,0.7,5,1247.436433,1236.726842,1247.230692,1185.131095,1308.367055,1247.230692,26/07/2026 22:57,26/07/2026 22:57,0.422746181
5,0,5,0.7,20,1215.60555,1310.868287,1212.850047,1249.872322,1223.315608,1223.315608,26/07/2026 22:57,26/07/2026 22:57,1.373764038
5,0,5,0.7,50,1070.219295,1178.951908,1161.183222,1189.024035,1168.579869,1168.579869,26/07/2026 22:57,26/07/2026 22:57,3.643436193
5,0,5,0.7,100,1231.094723,1253.530095,1234.475058,1285.965591,1154.325823,1234.475058,26/07/2026 22:57,26/07/2026 22:57,6.711694717
5,0,5,1,5,1215.179017,1320.168327,1148.887895,1273.174967,1301.33469,1273.174967,26/07/2026 22:57,26/07/2026 22:57,0.461130142
5,0,5,1,20,1226.259302,1111.593347,1290.489503,1212.243682,1145.177279,1212.243682,26/07/2026 22:57,26/07/2026 22:57,1.843666077
5,0,5,1,50,1060.439535,1178.615217,1118.362156,1250.741671,1270.383729,1178.615217,26/07/2026 22:57,26/07/2026 22:57,5.028012276
5,0,5,1,100,1199.212474,1180.809677,1196.333525,1222.8412,1142.917403,1196.333525,26/07/2026 22:57,26/07/2026 22:57,9.760890484
5,0,20,0,5,1450.877301,1100.212235,1077.23398,1255.762704,1111.011917,1111.011917,26/07/2026 22:57,26/07/2026 22:57,0.199666262
5,0,20,0,20,1239.192679,1284.739248,1241.445679,1241.36463,1225.180319,1241.36463,26/07/2026 22:57,26/07/2026 22:57,0.808067322
5,0,20,0,50,1248.575653,1229.248726,1263.052622,1283.050488,1189.895595,1248.575653,26/07/2026 22:57,26/07/2026 22:57,2.12620616
5,0,20,0,100,1264.273321,1174.963443,1097.515699,1216.879154,1201.373859,1201.373859,26/07/2026 22:57,26/07/2026 22:57,3.990746737
5,0,20,0.1,5,1163.561983,1340.748972,1196.729946,1240.863275,1283.37632,1240.863275,26/07/2026 22:57,26/07/2026 22:57,0.418874741
5,0,20,0.1,20,1190.831504,1231.776246,1254.703476,1119.498602,1327.377271,1231.776246,26/07/2026 22:57,26/07/2026 22:57,1.121621609
5,0,20,0.1,50,1292.874868,1296.25319,1248.447253,1101.924424,1267.725414,1267.725414,26/07/2026 22:57,26/07/2026 22:57,2.592385769
5,0,20,0.1,100,1255.606574,1191.101969,1197.966477,1236.855966,1114.836166,1197.966477,26/07/2026 22:57,26/07/2026 22:57,5.632386923
5,0,20,0.5,5,1296.083167,1240.182787,1065.358059,1191.918357,1190.28132,1191.918357,26/07/2026 22:57,26/07/2026 22:57,0.753944159
5,0,20,0.5,20,1223.112558,1180.890901,1159.755627,1238.676115,1316.224805,1223.112558,26/07/2026 22:57,26/07/2026 22:58,2.591984749
5,0,20,0.5,50,1233.70853,1267.355217,1209.691309,1306.933399,1110.638989,1233.70853,26/07/2026 22:58,26/07/2026 22:58,6.341365099
5,0,20,0.5,100,1152.628197,1318.959623,1172.323331,1288.700703,1165.91254,1172.323331,26/07/2026 22:58,26/07/2026 22:58,12.26747465
5,0,20,0.7,5,1161.284481,1199.643081,1191.920605,1155.246013,1231.558501,1191.920605,26/07/2026 22:58,26/07/2026 22:58,0.883021832
5,0,20,0.7,20,1168.935973,1285.293525,1110.910843,1133.006386,1254.679971,1168.935973,26/07/2026 22:58,26/07/2026 22:58,2.896662951
5,0,20,0.7,50,1155.688671,1215.39395,1067.723835,1238.616522,1200.783047,1200.783047,26/07/2026 22:58,26/07/2026 22:58,7.29754138
5,0,20,0.7,100,1222.835564,1214.355966,1149.544178,1221.46986,1200.849481,1214.355966,26/07/2026 22:58,26/07/2026 22:58,15.32172227
5,0,20,1,5,1309.925338,1318.065337,1267.996171,1278.983189,1282.142577,1282.142577,26/07/2026 22:58,26/07/2026 22:58,0.906215429
5,0,20,1,20,1177.795011,1140.543997,1079.015667,1294.04938,1057.663729,1140.543997,26/07/2026 22:58,26/07/2026 22:58,4.120996952
5,0,20,1,50,1329.319971,1316.575999,1177.16061,1308.395883,1287.873913,1308.395883,26/07/2026 22:58,26/07/2026 22:59,11.2790308
5,0,20,1,100,1262.062928,1262.323324,1306.497524,1027.020857,1222.090563,1262.062928,26/07/2026 22:59,26/07/2026 22:59,20.99127197
5,0,50,0,5,1203.507982,1345.338456,1113.765037,1167.609781,1225.291105,1203.507982,26/07/2026 22:59,26/07/2026 22:59,0.2181077
5,0,50,0,20,1357.326283,1172.956307,1296.301768,1237.466106,1272.435107,1272.435107,26/07/2026 22:59,26/07/2026 22:59,0.826639891
5,0,50,0,50,1257.132806,1320.102752,1061.370726,1099.754007,1246.150553,1246.150553,26/07/2026 22:59,26/07/2026 22:59,2.099115372
5,0,50,0,100,1171.459726,1238.827179,1188.148877,1350.992169,1141.690584,1188.148877,26/07/2026 22:59,26/07/2026 22:59,4.080793381
5,0,50,0.1,5,1082.024565,1131.19151,1213.371173,1231.806475,1222.478237,1213.371173,26/07/2026 22:59,26/07/2026 22:59,0.544366121
5,0,50,0.1,20,1264.724954,1177.042231,1108.632657,1322.472282,1132.075555,1177.042231,26/07/2026 22:59,26/07/2026 22:59,1.661719799
5,0,50,0.1,50,1198.085814,1326.616759,1145.445434,1230.138324,1263.954706,1230.138324,26/07/2026 22:59,26/07/2026 22:59,4.275338173
5,0,50,0.1,100,1272.374331,1193.789524,1200.271653,1274.834414,1252.952049,1252.952049,26/07/2026 22:59,26/07/2026 22:59,8.748273134
5,0,50,0.5,5,1224.479249,1191.670684,1191.04107,1255.972936,1409.640096,1224.479249,26/07/2026 22:59,26/07/2026 22:59,1.928755522
5,0,50,0.5,20,1317.689756,1217.773986,1218.341322,1149.485286,1299.630317,1218.341322,26/07/2026 22:59,26/07/2026 22:59,5.418835878
5,0,50,0.5,50,1256.888701,1064.784987,1177.530235,1188.049143,1339.471473,1188.049143,26/07/2026 22:59,26/07/2026 23:00,13.28552127
5,0,50,0.5,100,1253.547066,1279.011586,1245.36711,1273.259311,1082.742571,1253.547066,26/07/2026 23:00,26/07/2026 23:00,24.75436878
5,0,50,0.7,5,1232.70053,1139.204269,1196.726491,1221.196986,1191.122883,1196.726491,26/07/2026 23:00,26/07/2026 23:00,1.604938269
5,0,50,0.7,20,1229.411456,1228.660729,1186.925092,1146.531907,1201.520541,1201.520541,26/07/2026 23:00,26/07/2026 23:00,7.451394796
5,0,50,0.7,50,1273.567336,1167.166726,1268.231089,1369.944487,1316.853286,1273.567336,26/07/2026 23:00,26/07/2026 23:00,16.4245801
5,0,50,0.7,100,1280.111791,1077.276869,1333.473833,1192.156846,1222.479595,1222.479595,26/07/2026 23:00,26/07/2026 23:01,34.96341825
5,0,50,1,5,1255.980168,1151.852794,1342.771402,1186.474201,1155.415256,1186.474201,26/07/2026 23:01,26/07/2026 23:01,2.878452539
5,0,50,1,20,1184.915747,1191.138434,1245.789649,1184.131475,1095.012817,1184.915747,26/07/2026 23:01,26/07/2026 23:01,10.79452467
