Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score,Tiempo_Inicio,Tiempo_Fin,Tiempo_Segundos
100,1.0,100,1.0,100,1283.8061456355333,1198.7225521776,1260.7408981866854,1136.7858308831674,1274.6964900802789,1260.7408981866854,2026-07-29 18:39:36,2026-07-29 19:43:10,3813.823498249054
100,1.0,100,0.7,100,1237.835571082646,1261.38528735654,1227.3599329453402,1284.1785820689454,1142.1601045939112,1237.835571082646,2026-07-29 16:50:59,2026-07-29 17:52:16,3677.13436317444
100,1.0,100,0.5,100,1295.542401138663,1208.1991696342295,1223.0001077455802,1203.6886240774995,1199.526054468264,1208.1991696342295,2026-07-29 15:03:22,2026-07-29 16:04:32,3669.654585123062
100,1.0,100,0.0,100,1267.9919239921787,1254.806605572889,1214.3644206162198,1175.3921100264806,1287.2595596649278,1254.806605572889,2026-07-29 11:31:22,2026-07-29 12:32:20,3658.0523188114166
100,1.0,100,0.1,100,1146.0343855129672,1282.1249405755498,1148.2342067071334,1000.1832328329727,1276.8261150051496,1148.2342067071334,2026-07-29 13:17:20,2026-07-29 14:16:51,3571.258541584015
100,0.7,100,1.0,100,1080.496137820757,981.1989127617104,1137.648871088281,1209.994915316819,1216.7841082607008,1137.648871088281,2026-07-29 03:18:21,2026-07-29 04:16:35,3494.387505054474
100,0.5,100,1.0,100,1288.1603398890811,1204.0095271613734,1288.691767020365,1111.4913896131593,1090.9662626601296,1204.0095271613734,2026-07-28 15:41:23,2026-07-28 16:31:43,3019.8635993003845
100,0.7,100,0.7,100,1217.5977028207667,1111.8782393631077,1166.7932871233102,1249.5471229822715,1179.5828853388637,1179.5828853388637,2026-07-29 01:44:39,2026-07-29 02:34:58,3019.014334440232
100,0.7,100,0.5,100,1200.133246128489,1270.382643164676,1195.5708383592396,1233.9968212465956,1188.432027775076,1200.133246128489,2026-07-29 00:19:52,2026-07-29 01:06:40,2807.414946079254
100,0.5,100,0.7,100,1290.9967885912934,1225.8537448110342,1181.87597815834,1163.806640083469,1293.2235866168824,1225.8537448110342,2026-07-28 14:21:35,2026-07-28 15:03:45,2529.428500890732
100,0.7,100,0.1,100,1273.4897059132536,1263.9506131944845,1247.6694014070058,1233.646086611082,1219.146560671704,1247.6694014070058,2026-07-28 23:05:21,2026-07-28 23:44:45,2363.752189397812
100,0.7,100,0.0,100,1215.9907218716037,1323.9954943752698,1249.6468195791504,1065.4229043666812,1330.785459379032,1249.6468195791504,2026-07-28 21:57:06,2026-07-28 22:35:42,2315.902251243592
