fase,gen,nevals,Promedio,Max_Ganancia,Desviacion
1,0,50,563.8125506052435,1085.4969356693523,341.1536274094884
1,1,35,751.8747819914419,1085.4969356693523,333.4914219994126
1,2,36,956.822434460357,1087.5856297533091,210.8085469128137
1,3,31,985.010996281003,1087.5856297533091,209.74426768512012
1,4,37,1006.600276789732,1087.5856297533091,206.62600115578385
1,5,34,995.9760354555698,1087.5856297533091,234.17388577399717
2,0,50,798.3112179324501,1154.5112892801433,357.67338734414807
2,1,41,1011.1217568033726,1154.8485260625532,223.44209635938097
2,2,34,1094.944863485728,1154.8485260625532,189.26764105050503
2,3,44,1097.3303862643554,1154.8485260625532,190.59779121040523
2,4,36,1111.7837661360018,1154.9085260625532,188.2983567517019
2,5,34,1130.2268823094064,1154.9285260625531,130.95529258883462
3,0,50,732.3529821884628,1135.850596004635,374.904480286196
3,1,43,971.5450934612204,1135.850596004635,251.98075476167844
3,2,45,1037.8696811568338,1135.810596004635,225.9216013667785
3,3,35,1077.4494517143596,1135.810596004635,194.50736588281265
3,4,43,1057.162441299646,1135.850596004635,231.8233916177146
3,5,34,1032.7403686087137,1135.850596004635,247.71863849214756
4,0,50,805.0715530393796,1198.398121043607,363.7572556595389
4,1,36,1057.8380407272602,1201.2314533601907,241.12184603139949
4,2,37,1147.83693864206,1201.2314533601907,181.17731552845757
4,3,34,1170.752677943642,1201.2914533601906,129.5945369933663
4,4,32,1197.1404634430532,1201.2914533601906,9.6312613692786
4,5,37,1119.2355833522747,1201.251453360191,237.464282128393
5,0,50,763.8045975750891,1176.3738567131002,358.34774417106627
5,1,42,1008.364153223718,1176.3738567131002,257.8032428693475
5,2,35,1121.2711922873473,1176.3338567131002,168.50925501114602
5,3,32,1134.0383251332096,1176.3338567131002,171.61800878886618
5,4,33,1114.8389634272337,1176.3538567131002,207.5665963335343
5,5,33,1115.4039393597109,1176.3738567131002,172.91582398504562
6,0,50,939.480756992878,1294.6735715772998,359.5875162180092
6,1,40,1070.7161908605867,1294.6735715772998,349.0273104884955
6,2,32,1245.8088918438991,1294.6535715772998,157.41687603587778
6,3,30,1220.2824193129632,1294.7135715772995,226.5804703041432
6,4,34,1265.299410707109,1294.7335715772997,115.63435906615312
6,5,32,1287.7428436259986,1294.7335715772997,26.048405527263583
7,0,50,789.1839477916766,1218.5199186547331,394.5002296752501
7,1,44,1042.7906975299306,1218.3650402599892,286.9760870107951
7,2,31,1080.3169678749514,1218.599918654733,304.2619509361216
7,3,39,1182.4873575890472,1218.599918654733,142.9589223553857
7,4,36,1183.917076698741,1218.599918654733,115.91697456922398
7,5,36,1180.0732947627291,1218.599918654733,144.87907860201244
8,0,50,872.0521792088492,1327.663881372037,415.2960753032383
8,1,38,1108.7861527432951,1327.663881372037,336.73075709988166
8,2,44,1218.5536020098398,1328.2733271600669,276.0110636477284
8,3,39,1229.401708447364,1329.9745124227145,239.34371525526936
8,4,36,1295.3838622049843,1329.9745124227145,137.8437680284511
8,5,39,1266.5871286997397,1329.9745124227145,230.67896580010063
9,0,50,851.5022292500929,1250.0021517747475,396.7363290320733
9,1,43,1060.3698700606064,1250.6376525089113,344.09424714148065
9,2,41,1219.4291911422297,1252.3621572979173,102.39328386606472
9,3,30,1187.7952517658834,1252.3621572979173,214.1598309927421
9,4,37,1217.2264569528454,1252.3621572979173,163.307055956677
9,5,35,1204.3653995057314,1252.7180427792707,175.70669992831915
10,0,50,882.3659740163334,1232.4667781403366,371.9459997719339
10,1,36,1049.3891492015337,1232.4667781403366,332.4439235281582
10,2,44,1117.0154984831136,1232.4667781403366,242.4893437094165
10,3,41,1080.5496079301795,1232.4667781403366,270.02267121075124
10,4,43,1084.2264601483132,1232.4667781403366,284.3369914453017
10,5,45,1098.7507272543317,1232.4667781403366,302.0798292396214
