gen,nevals,Promedio,Max_Ganancia,Desviacion
0,50,87.33480000000002,104.97,24.10200508173542
1,35,97.43120000000003,104.97,17.111594389769763
2,41,97.94200000000001,104.97,17.244304798976387
3,31,99.65920000000001,104.97,15.644296703910982
4,31,99.16159999999999,104.97,16.41533043956167
5,33,96.366,104.97,20.377520163160185
6,38,96.45680000000002,104.97,18.261944084899614
7,41,102.1456,104.97,9.504383233014122
8,33,101.06640000000002,104.97,13.72275697664285
9,33,102.8556,104.97,9.959257032530086
10,31,103.86200000000002,104.97,4.17241416927898
11,37,102.56040000000002,104.97,10.26832819109323
12,39,99.26240000000001,104.97,17.731999499210456
13,37,100.56640000000003,104.97,14.655935420163393
14,33,100.2648,104.97,14.270861395164625
15,40,101.96600000000001,104.97,11.142896571358813
