Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score
5,0.0,5,0.0,5,1302.8807689751434,1193.0684015890395,1308.8578631361738,1193.2786000524084,1265.354324939291,1265.354324939291
5,0.0,5,0.0,20,1127.0293249676931,1335.762130088962,1247.3793069662725,1207.437864702213,1266.987224773419,1247.3793069662725
5,0.0,5,0.0,50,1244.7199613286664,1196.824018142237,1416.2104818700652,1155.122962817257,1130.294255020994,1196.824018142237
5,0.0,5,0.0,100,1187.5562389243662,1170.2221772953806,1119.8521052187273,1155.6533026873092,1073.0519067985242,1155.6533026873092
5,0.0,5,0.1,5,1076.8023444879198,1372.4212920133523,1099.3327639332583,1239.3740658543848,1305.7868292447654,1239.3740658543848
5,0.0,5,0.1,20,1136.9355347705189,1029.2450529176324,1238.79331980748,1213.4382506063896,1273.2920896395185,1213.4382506063896
5,0.0,5,0.1,50,1285.9631825667977,1237.3096509408801,1110.5899653821537,1222.8844758262715,1263.9402106415714,1237.3096509408801
5,0.0,5,0.1,100,1203.1306133174005,1180.776363045893,1337.1950263063184,1179.26418446388,1040.1429478754933,1180.776363045893
5,0.0,5,0.5,5,1217.0897976191557,1254.7840242301781,1097.2115959394623,1198.3643598715291,1182.8738040340627,1198.3643598715291
5,0.0,5,0.5,20,1213.7899337899191,1267.4684472828944,1134.461835438098,1183.1412530987793,1467.8602202775344,1213.7899337899191
5,0.0,5,0.5,50,1260.750674365494,1287.3476754610533,1142.443267897881,1272.521323945717,1122.262424943496,1260.750674365494
5,0.0,5,0.5,100,1097.628759937794,1292.9054966535798,1322.9220491489925,1238.7565758649782,1207.601576761532,1238.7565758649782
5,0.0,5,0.7,5,1145.7104119150463,1127.160934212125,1164.99769353672,1224.9726762431596,1305.9340140754841,1164.99769353672
5,0.0,5,0.7,20,1310.090441712598,1258.0163797557568,1172.5560427429068,1211.4526054094383,1111.6612481547654,1211.4526054094383
