fase,gen,nevals,Promedio,Max_Ganancia,Desviacion
1,0,50,740.6867554332764,1244.23301712921,360.0221686147856
1,1,38,952.653837120424,1244.21301712921,301.0675121584717
1,2,36,1116.9739378695626,1244.23301712921,212.79286074350267
1,3,45,1106.389839658511,1244.23301712921,248.1813951431032
1,4,37,1124.2343338154542,1244.23301712921,259.0090321121214
1,5,37,1070.2200037083862,1244.23301712921,339.0463956128281
2,0,50,883.8313602837562,1248.5940846419076,361.4021313014513
2,1,38,1056.0747153200089,1248.5940846419076,282.0182368637215
2,2,45,1056.4937255192956,1248.5940846419076,330.20730761712485
2,3,40,1030.0178084799,1248.5940846419076,363.9871540255075
2,4,41,1178.415066548955,1248.5940846419076,197.1109162721341
2,5,39,1196.7063561996697,1248.5940846419076,160.38293103155743
3,0,50,793.5277174234876,1185.531890215703,379.7375659594045
3,1,44,995.535124941468,1190.0071206177347,294.1318589731694
3,2,37,1074.2835194654122,1191.0454653431016,242.0628385106547
3,3,42,1010.1398748690542,1191.0454653431016,298.27164672916547
3,4,39,1052.0052743348058,1192.190129861059,279.30951585350016
3,5,33,1104.8726545406585,1192.190129861059,227.6554894511188
4,0,50,734.7631698327475,1107.9605636772794,346.34194754548093
4,1,39,891.0541094887172,1107.9605636772794,304.63211086299265
4,2,39,980.3635526367876,1107.9605636772794,255.1622135390025
4,3,39,1053.7440023559443,1107.9605636772794,156.2893126903818
4,4,35,1026.4627068215643,1107.9605636772794,229.4943322081548
4,5,42,1064.1865281295404,1107.9605636772794,140.58213051908618
5,0,50,869.5154010857227,1211.4564793361296,338.5466910534383
5,1,33,1016.2854848089158,1211.4564793361296,327.1410956591493
5,2,35,1098.1202607649177,1211.4564793361296,247.51717560120895
5,3,39,1112.901832383796,1211.4564793361296,262.6937759581625
5,4,41,1142.5831798179156,1211.4564793361296,222.1879989010597
5,5,40,1154.7093865434022,1211.4564793361296,198.15099913819856
6,0,50,704.6313469834915,1094.1560545149534,351.8294554816027
6,1,38,914.4022737946756,1094.6927975538797,238.3903759664084
6,2,41,858.7351077867047,1094.953256698972,312.34819804448694
6,3,38,963.6293768479936,1094.973256698972,265.940007310792
6,4,40,935.1203397581012,1098.0350376457825,302.612192093758
6,5,29,981.59326287901,1098.0950376457824,252.8452287418476
7,0,50,838.7544781123884,1223.4074567898756,375.8648682039171
7,1,38,976.2906248017448,1224.4538761678086,319.4028169393493
7,2,42,1078.994168117849,1224.4338761678084,300.8746592765462
7,3,42,1142.2432642313586,1224.4538761678086,208.89972422157211
7,4,37,1138.1422462166606,1224.4538761678086,254.0947609663263
7,5,36,1103.4669955868685,1224.4738761678086,304.8292147746272
8,0,50,822.1346735944016,1216.6506608384193,380.7101893818054
8,1,34,1033.6738695002105,1216.6506608384193,292.0194182892893
8,2,36,1030.4944946101743,1216.6506608384193,297.85913418312737
8,3,29,1123.7259982122494,1216.6706608384193,227.57975016797508
8,4,42,1076.6385920241823,1216.7306608384197,308.11631084649804
8,5,32,1119.64554198825,1216.7306608384197,244.5768630952899
9,0,50,761.601915640574,1182.17236779546,369.6401221372767
9,1,42,995.5845190423328,1182.347869741432,301.7953941285349
9,2,32,1064.2743015895012,1182.347869741432,254.8316582413045
9,3,37,1092.089204960342,1182.859865540945,163.8469049867134
9,4,39,983.1987319514486,1182.859865540945,312.2083096542073
9,5,42,1054.0834674286834,1182.859865540945,239.6519548536261
10,0,50,810.0390064887512,1219.194850267607,422.6694738449722
10,1,43,990.0528986793112,1224.019220580819,319.46374754025794
10,2,36,1121.9206398637114,1224.019220580819,216.24727240647232
10,3,43,1067.7697954024138,1224.019220580819,281.9056006402421
10,4,41,1022.1677283630908,1224.019220580819,349.3768533148558
10,5,45,1087.2457461395516,1224.1192205808186,244.9833823796436
